collected,Active,Active(anon),Active(file),AnonHugePages,AnonPages,Bounce,Buffers,Cached,CmaFree,CmaTotal,CommitLimit,Committed_AS,DirectMap1G,DirectMap2M,DirectMap4k,Dirty,HardwareCorrupted,HugePages_Free,HugePages_Rsvd,HugePages_Surp,HugePages_Total,Hugepagesize,Inactive,Inactive(anon),Inactive(file),KernelStack,Mapped,MemAvailable,MemFree,MemTotal,Mlocked,NFS_Unstable,PageTables,SReclaimable,SUnreclaim,Shmem,ShmemHugePages,ShmemPmdMapped,Slab,SwapCached,SwapFree,SwapTotal,Unevictable,VmallocChunk,VmallocTotal,VmallocUsed,Writeback,WritebackTmp,avg_latency,b,bi,bo,buff,cache,cs,free,id,in,max_latency,min_latency,nvme2n1_%rrqm,nvme2n1_%util,nvme2n1_%wrqm,nvme2n1_aqu-sz,nvme2n1_r/s,nvme2n1_rMB/s,nvme2n1_r_await,nvme2n1_rareq-sz,nvme2n1_rrqm/s,nvme2n1_svctm,nvme2n1_w/s,nvme2n1_wMB/s,nvme2n1_w_await,nvme2n1_wareq-sz,nvme2n1_wrqm/s,r,rate,si,so,st,swpd,sy,us,wa
2020-08-28 21:33:58,13129876.0,4108744.0,9021132.0,0.0,40284.0,0.0,224480.0,62957924.0,0.0,0.0,66527108.0,5105536.0,4194304.0,61446144.0,2430512.0,628.0,0.0,0.0,0.0,0.0,0.0,2048.0,50083732.0,230660.0,49853072.0,8112.0,4330340.0,60047332.0,416308.0,65945364.0,10332.0,0.0,31236.0,1482152.0,260848.0,4303636.0,0.0,0.0,1743000.0,7092.0,33403132.0,33554428.0,10332.0,0.0,34359738367.0,0.0,0.0,0.0,,0.0,2928.0,5597.0,224620.0,64440556.0,5.0,415308.0,85.0,7.0,,,,,,,,,,,,,,,,,,2.0,,0.0,0.0,0.0,151296.0,3.0,7.0,5.0
2020-08-28 21:33:59,13232036.0,4131748.0,9100288.0,0.0,72132.0,0.0,224792.0,62818388.0,0.0,0.0,66527108.0,5328644.0,4194304.0,61446144.0,2430512.0,1836.0,0.0,0.0,0.0,0.0,0.0,2048.0,49870704.0,239372.0,49631332.0,8880.0,4335156.0,59954120.0,472120.0,65945364.0,10332.0,0.0,102416.0,1475712.0,263192.0,4303640.0,0.0,0.0,1738904.0,7060.0,33403132.0,33554428.0,10332.0,0.0,34359738367.0,0.0,152.0,0.0,,13.0,184100.0,321324.0,224792.0,64297704.0,350816.0,469144.0,27.0,44722.0,,,0.0,99.2,0.0,13.06,21515.0,178.62,0.61,8.5,0.0,0.03,8344.0,312.4,0.07,38.34,0.0,9.0,,0.0,0.0,0.0,151296.0,13.0,21.0,39.0
2020-08-28 21:34:00,13322692.0,4124480.0,9198212.0,0.0,72140.0,0.0,224792.0,62808068.0,0.0,0.0,66527108.0,5328644.0,4194304.0,61446144.0,2430512.0,2712.0,0.0,0.0,0.0,0.0,0.0,2048.0,49772556.0,246648.0,49525908.0,8880.0,4335156.0,59907912.0,437648.0,65945364.0,10332.0,0.0,150980.0,1471476.0,263192.0,4303640.0,0.0,0.0,1734668.0,7060.0,33403132.0,33554428.0,10332.0,0.0,34359738367.0,0.0,56.0,0.0,,15.0,183944.0,323328.0,224792.0,64279664.0,347180.0,437400.0,27.0,44611.0,,,0.0,102.0,0.0,14.17,21742.0,179.8,0.66,8.47,0.0,0.03,8583.0,316.1,0.06,37.71,0.0,10.0,,0.0,0.0,0.0,151296.0,13.0,20.0,40.0
2020-08-28 21:34:01,13414604.0,4118128.0,9296476.0,0.0,72140.0,0.0,224792.0,62800868.0,0.0,0.0,66527108.0,5328644.0,4194304.0,61446144.0,2430512.0,3916.0,0.0,0.0,0.0,0.0,0.0,2048.0,49669008.0,253000.0,49416008.0,8880.0,4335156.0,59857596.0,403424.0,65945364.0,10332.0,0.0,196740.0,1467020.0,263192.0,4303640.0,0.0,0.0,1730212.0,7060.0,33403132.0,33554428.0,10332.0,0.0,34359738367.0,0.0,16.0,0.0,,8.0,185200.0,321736.0,224792.0,64271832.0,344382.0,399952.0,26.0,43848.0,,,0.0,102.0,0.0,14.71,21702.0,180.4,0.68,8.51,0.0,0.03,8506.0,313.41,0.06,37.73,0.0,11.0,,0.0,0.0,0.0,151296.0,11.0,21.0,42.0
2020-08-28 21:34:02,13503252.0,4111224.0,9392028.0,0.0,72140.0,0.0,224800.0,62782760.0,0.0,0.0,66527108.0,5328644.0,4194304.0,61446144.0,2430512.0,5144.0,0.0,0.0,0.0,0.0,0.0,2048.0,49565288.0,259904.0,49305384.0,8880.0,4335156.0,59833172.0,398464.0,65945364.0,10332.0,0.0,224312.0,1462628.0,263192.0,4303640.0,0.0,0.0,1725820.0,7060.0,33403132.0,33554428.0,10332.0,0.0,34359738367.0,0.0,48.0,0.0,,13.0,185272.0,320596.0,224800.0,64245436.0,343272.0,398464.0,26.0,43836.0,,,0.0,103.2,0.0,14.59,21781.0,181.25,0.67,8.52,0.0,0.03,8622.0,313.58,0.06,37.24,0.0,12.0,,0.0,0.0,0.0,151296.0,12.0,21.0,42.0
2020-08-28 21:34:03,13562744.0,4102664.0,9460080.0,0.0,72144.0,0.0,224800.0,62672048.0,0.0,0.0,66527108.0,5328644.0,4194304.0,61446144.0,2430512.0,5940.0,0.0,0.0,0.0,0.0,0.0,2048.0,49393956.0,268476.0,49125480.0,8880.0,4335164.0,59819664.0,501368.0,65945364.0,10332.0,0.0,236540.0,1458068.0,263216.0,4303648.0,0.0,0.0,1721284.0,7060.0,33403132.0,33554428.0,10332.0,0.0,34359738367.0,0.0,0.0,0.0,,19.0,183784.0,318152.0,224800.0,64115284.0,340959.0,516364.0,25.0,43512.0,,,0.0,101.6,0.0,14.37,21721.0,179.6,0.67,8.47,0.0,0.03,8527.0,310.87,0.07,37.33,0.0,6.0,,8.0,0.0,0.0,151296.0,12.0,20.0,43.0
2020-08-28 21:34:04,13666192.0,4097400.0,9568792.0,0.0,72144.0,0.0,224800.0,62652344.0,0.0,0.0,66527108.0,5328644.0,4194304.0,61446144.0,2430512.0,7156.0,0.0,0.0,0.0,0.0,0.0,2048.0,49273432.0,273740.0,48999692.0,8880.0,4335164.0,59820404.0,522432.0,65945364.0,10332.0,0.0,237512.0,1454820.0,263224.0,4303648.0,0.0,0.0,1718044.0,7060.0,33403132.0,33554428.0,10332.0,0.0,34359738367.0,0.0,0.0,0.0,,16.0,185352.0,317240.0,224800.0,64107268.0,341231.0,522184.0,26.0,44752.0,,,0.0,101.6,0.0,14.0,21837.0,180.39,0.64,8.46,0.0,0.03,8391.0,308.98,0.08,37.71,0.0,8.0,,0.0,0.0,0.0,151296.0,12.0,20.0,41.0
2020-08-28 21:34:05,13732192.0,4092224.0,9639968.0,0.0,72148.0,0.0,224808.0,62696260.0,0.0,0.0,66527108.0,5328644.0,4194304.0,61446144.0,2430512.0,8316.0,0.0,0.0,0.0,0.0,0.0,2048.0,49250580.0,278920.0,48971660.0,8880.0,4335164.0,59820136.0,481676.0,65945364.0,10332.0,0.0,238188.0,1452164.0,263536.0,4303648.0,0.0,0.0,1715700.0,7060.0,33403132.0,33554428.0,10332.0,0.0,34359738367.0,0.0,8.0,0.0,,18.0,139228.0,533064.0,224808.0,64148384.0,260030.0,481676.0,32.0,65934.0,,,0.0,101.2,0.01,61.43,16410.0,135.76,0.83,8.47,0.0,0.02,38680.0,520.23,1.25,13.77,2.0,7.0,,0.0,0.0,0.0,151296.0,10.0,16.0,42.0
2020-08-28 21:34:06,13802684.0,4089712.0,9712972.0,0.0,72148.0,0.0,224808.0,62787532.0,0.0,0.0,66527108.0,5328644.0,4194304.0,61446144.0,2430512.0,8892.0,0.0,0.0,0.0,0.0,0.0,2048.0,49268024.0,281432.0,48986592.0,8880.0,4335164.0,59819044.0,394320.0,65945364.0,10332.0,0.0,238692.0,1450492.0,263472.0,4303648.0,0.0,0.0,1713964.0,7060.0,33403132.0,33554428.0,10332.0,0.0,34359738367.0,0.0,0.0,0.0,,19.0,115760.0,552880.0,224808.0,64237188.0,216981.0,394568.0,36.0,68406.0,,,0.0,100.4,0.0,78.53,13692.0,113.46,0.96,8.49,0.0,0.02,45674.0,540.4,1.45,12.12,0.0,5.0,,0.0,0.0,0.0,151296.0,8.0,14.0,42.0
2020-08-28 21:34:07,13809484.0,4082160.0,9727324.0,0.0,72152.0,0.0,224816.0,62613856.0,0.0,0.0,66527108.0,5328644.0,4194304.0,61446144.0,2430512.0,9704.0,0.0,0.0,0.0,0.0,0.0,2048.0,49091708.0,288988.0,48802720.0,8880.0,4335164.0,59820100.0,569920.0,65945364.0,10332.0,0.0,239168.0,1445468.0,263408.0,4303648.0,0.0,0.0,1708876.0,7060.0,33403132.0,33554428.0,10332.0,0.0,34359738367.0,0.0,8.0,0.0,,18.0,111172.0,532588.0,224816.0,64059216.0,208784.0,569920.0,37.0,69235.0,,,0.0,102.4,0.0,78.4,13190.0,108.74,1.02,8.44,0.0,0.02,47633.0,520.6,1.38,11.19,0.0,7.0,,0.0,0.0,0.0,151296.0,8.0,13.0,42.0
