collected,value,metric
2020-08-28 21:34:57.000000,3.345,avg_latency
2020-08-28 21:34:57.000000,20.324,max_latency
2020-08-28 21:34:57.000000,0.405,min_latency
2020-08-28 21:34:57.000000,5280.0,rate
2020-08-28 21:34:58.000000,3.275,avg_latency
2020-08-28 21:34:58.000000,19.725,max_latency
2020-08-28 21:34:58.000000,0.368,min_latency
2020-08-28 21:34:58.000000,7305.0,rate
2020-08-28 21:34:59.000000,3.433,avg_latency
2020-08-28 21:34:59.000000,20.1,max_latency
2020-08-28 21:34:59.000000,0.41200000000000003,min_latency
2020-08-28 21:34:59.000000,7012.0,rate
2020-08-28 21:35:00.000000,3.389,avg_latency
2020-08-28 21:35:00.000000,24.6,max_latency
2020-08-28 21:35:00.000000,0.418,min_latency
2020-08-28 21:35:00.000000,7077.0,rate
2020-08-28 21:35:01.000000,2.576,avg_latency
2020-08-28 21:35:01.000000,35.455,max_latency
2020-08-28 21:35:01.000000,0.39299999999999996,min_latency
2020-08-28 21:35:01.000000,9320.0,rate
2020-08-28 21:35:02.000000,2.109,avg_latency
2020-08-28 21:35:02.000000,12.216,max_latency
2020-08-28 21:35:02.000000,0.39399999999999996,min_latency
2020-08-28 21:35:02.000000,11387.0,rate
2020-08-28 21:35:03.000000,1.942,avg_latency
2020-08-28 21:35:03.000000,7.7620000000000005,max_latency
2020-08-28 21:35:03.000000,0.38299999999999995,min_latency
2020-08-28 21:35:03.000000,12357.0,rate
2020-08-28 21:35:04.000000,2.264,avg_latency
2020-08-28 21:35:04.000000,19.423,max_latency
2020-08-28 21:35:04.000000,0.386,min_latency
2020-08-28 21:35:04.000000,10565.0,rate
2020-08-28 21:35:05.000000,3.191,avg_latency
2020-08-28 21:35:05.000000,24.516,max_latency
2020-08-28 21:35:05.000000,0.424,min_latency
2020-08-28 21:35:05.000000,7546.0,rate
2020-08-28 21:35:06.000000,3.417,avg_latency
2020-08-28 21:35:06.000000,21.096,max_latency
2020-08-28 21:35:06.000000,0.395,min_latency
2020-08-28 21:35:06.000000,6993.0,rate
2020-08-28 21:35:07.000000,3.105,avg_latency
2020-08-28 21:35:07.000000,23.881,max_latency
2020-08-28 21:35:07.000000,0.371,min_latency
2020-08-28 21:35:07.000000,7761.0,rate
2020-08-28 21:35:08.000000,3.449,avg_latency
2020-08-28 21:35:08.000000,33.585,max_latency
2020-08-28 21:35:08.000000,0.408,min_latency
2020-08-28 21:35:08.000000,6897.0,rate
2020-08-28 21:35:09.000000,4.333,avg_latency
2020-08-28 21:35:09.000000,39.043,max_latency
2020-08-28 21:35:09.000000,0.434,min_latency
2020-08-28 21:35:09.000000,5589.0,rate
2020-08-28 21:35:10.000000,3.243,avg_latency
2020-08-28 21:35:10.000000,39.69,max_latency
2020-08-28 21:35:10.000000,0.435,min_latency
2020-08-28 21:35:10.000000,7400.0,rate
2020-08-28 21:35:11.000000,2.352,avg_latency
2020-08-28 21:35:11.000000,10.191,max_latency
2020-08-28 21:35:11.000000,0.429,min_latency
2020-08-28 21:35:11.000000,10202.0,rate
2020-08-28 21:35:12.000000,2.303,avg_latency
2020-08-28 21:35:12.000000,11.235999999999999,max_latency
2020-08-28 21:35:12.000000,0.42200000000000004,min_latency
2020-08-28 21:35:12.000000,10428.0,rate
2020-08-28 21:35:13.000000,2.158,avg_latency
2020-08-28 21:35:13.000000,10.522,max_latency
2020-08-28 21:35:13.000000,0.384,min_latency
2020-08-28 21:35:13.000000,11116.0,rate
2020-08-28 21:35:14.000000,3.215,avg_latency
2020-08-28 21:35:14.000000,30.131999999999998,max_latency
2020-08-28 21:35:14.000000,0.371,min_latency
2020-08-28 21:35:14.000000,7447.0,rate
2020-08-28 21:35:15.000000,3.648,avg_latency
2020-08-28 21:35:15.000000,33.084,max_latency
2020-08-28 21:35:15.000000,0.39799999999999996,min_latency
2020-08-28 21:35:15.000000,6593.0,rate
2020-08-28 21:35:16.000000,3.451,avg_latency
2020-08-28 21:35:16.000000,25.68,max_latency
2020-08-28 21:35:16.000000,0.397,min_latency
2020-08-28 21:35:16.000000,6916.0,rate
2020-08-28 21:35:17.000000,3.832,avg_latency
2020-08-28 21:35:17.000000,32.791,max_latency
2020-08-28 21:35:17.000000,0.41200000000000003,min_latency
2020-08-28 21:35:17.000000,6247.0,rate
2020-08-28 21:35:18.000000,4.486,avg_latency
2020-08-28 21:35:18.000000,35.09,max_latency
2020-08-28 21:35:18.000000,0.408,min_latency
2020-08-28 21:35:18.000000,5339.0,rate
2020-08-28 21:35:19.000000,4.515,avg_latency
2020-08-28 21:35:19.000000,38.371,max_latency
2020-08-28 21:35:19.000000,0.419,min_latency
2020-08-28 21:35:19.000000,5372.0,rate
2020-08-28 21:35:20.000000,3.722,avg_latency
2020-08-28 21:35:20.000000,57.738,max_latency
2020-08-28 21:35:20.000000,0.391,min_latency
2020-08-28 21:35:20.000000,6448.0,rate
2020-08-28 21:35:21.000000,2.314,avg_latency
2020-08-28 21:35:21.000000,8.468,max_latency
2020-08-28 21:35:21.000000,0.42100000000000004,min_latency
2020-08-28 21:35:21.000000,10371.0,rate
2020-08-28 21:35:22.000000,2.306,avg_latency
2020-08-28 21:35:22.000000,10.788,max_latency
2020-08-28 21:35:22.000000,0.415,min_latency
2020-08-28 21:35:22.000000,10411.0,rate
2020-08-28 21:35:23.000000,2.267,avg_latency
2020-08-28 21:35:23.000000,8.719,max_latency
2020-08-28 21:35:23.000000,0.401,min_latency
2020-08-28 21:35:23.000000,10582.0,rate
2020-08-28 21:35:24.000000,2.733,avg_latency
2020-08-28 21:35:24.000000,25.605,max_latency
2020-08-28 21:35:24.000000,0.381,min_latency
2020-08-28 21:35:24.000000,8752.0,rate
2020-08-28 21:35:25.000000,3.694,avg_latency
2020-08-28 21:35:25.000000,27.164,max_latency
2020-08-28 21:35:25.000000,0.406,min_latency
2020-08-28 21:35:25.000000,6520.0,rate
2020-08-28 21:35:26.000000,3.89,avg_latency
2020-08-28 21:35:26.000000,30.362,max_latency
2020-08-28 21:35:26.000000,0.39299999999999996,min_latency
2020-08-28 21:35:26.000000,6165.0,rate
2020-08-28 21:35:27.000000,5.465,avg_latency
2020-08-28 21:35:27.000000,44.948,max_latency
2020-08-28 21:35:27.000000,0.473,min_latency
2020-08-28 21:35:27.000000,4339.0,rate
2020-08-28 21:35:28.000000,4.211,avg_latency
2020-08-28 21:35:28.000000,43.133,max_latency
2020-08-28 21:35:28.000000,0.428,min_latency
2020-08-28 21:35:28.000000,5767.0,rate
2020-08-28 21:35:29.000000,3.568,avg_latency
2020-08-28 21:35:29.000000,27.474,max_latency
2020-08-28 21:35:29.000000,0.419,min_latency
2020-08-28 21:35:29.000000,6701.0,rate
2020-08-28 21:35:30.000000,3.011,avg_latency
2020-08-28 21:35:30.000000,26.004,max_latency
2020-08-28 21:35:30.000000,0.39399999999999996,min_latency
2020-08-28 21:35:30.000000,8004.0,rate
2020-08-28 21:35:31.000000,2.22,avg_latency
2020-08-28 21:35:31.000000,10.654000000000002,max_latency
2020-08-28 21:35:31.000000,0.384,min_latency
2020-08-28 21:35:31.000000,10821.0,rate
2020-08-28 21:35:32.000000,2.317,avg_latency
2020-08-28 21:35:32.000000,10.458,max_latency
2020-08-28 21:35:32.000000,0.424,min_latency
2020-08-28 21:35:32.000000,10359.0,rate
2020-08-28 21:35:33.000000,2.454,avg_latency
2020-08-28 21:35:33.000000,11.394,max_latency
2020-08-28 21:35:33.000000,0.42,min_latency
2020-08-28 21:35:33.000000,9764.0,rate
2020-08-28 21:35:34.000000,3.187,avg_latency
2020-08-28 21:35:34.000000,41.968,max_latency
2020-08-28 21:35:34.000000,0.385,min_latency
2020-08-28 21:35:34.000000,7519.0,rate
2020-08-28 21:35:35.000000,5.909,avg_latency
