collected,value,metric
2020-08-28 21:33:58.517986,21515.00,nvme2n1_r/s
2020-08-28 21:33:58.517986,8344.00,nvme2n1_w/s
2020-08-28 21:33:58.517986,178.62,nvme2n1_rMB/s
2020-08-28 21:33:58.517986,312.40,nvme2n1_wMB/s
2020-08-28 21:33:58.517986,0.00,nvme2n1_rrqm/s
2020-08-28 21:33:58.517986,0.00,nvme2n1_wrqm/s
2020-08-28 21:33:58.517986,0.00,nvme2n1_%rrqm
2020-08-28 21:33:58.517986,0.00,nvme2n1_%wrqm
2020-08-28 21:33:58.517986,0.61,nvme2n1_r_await
2020-08-28 21:33:58.517986,0.07,nvme2n1_w_await
2020-08-28 21:33:58.517986,13.06,nvme2n1_aqu-sz
2020-08-28 21:33:58.517986,8.50,nvme2n1_rareq-sz
2020-08-28 21:33:58.517986,38.34,nvme2n1_wareq-sz
2020-08-28 21:33:58.517986,0.03,nvme2n1_svctm
2020-08-28 21:33:58.517986,99.20,nvme2n1_%util
2020-08-28 21:33:59.517734,21742.00,nvme2n1_r/s
2020-08-28 21:33:59.517734,8583.00,nvme2n1_w/s
2020-08-28 21:33:59.517734,179.80,nvme2n1_rMB/s
2020-08-28 21:33:59.517734,316.10,nvme2n1_wMB/s
2020-08-28 21:33:59.517734,0.00,nvme2n1_rrqm/s
2020-08-28 21:33:59.517734,0.00,nvme2n1_wrqm/s
2020-08-28 21:33:59.517734,0.00,nvme2n1_%rrqm
2020-08-28 21:33:59.517734,0.00,nvme2n1_%wrqm
2020-08-28 21:33:59.517734,0.66,nvme2n1_r_await
2020-08-28 21:33:59.517734,0.06,nvme2n1_w_await
2020-08-28 21:33:59.517734,14.17,nvme2n1_aqu-sz
2020-08-28 21:33:59.517734,8.47,nvme2n1_rareq-sz
2020-08-28 21:33:59.517734,37.71,nvme2n1_wareq-sz
2020-08-28 21:33:59.517734,0.03,nvme2n1_svctm
2020-08-28 21:33:59.517734,102.00,nvme2n1_%util
2020-08-28 21:34:00.517864,21702.00,nvme2n1_r/s
2020-08-28 21:34:00.517864,8506.00,nvme2n1_w/s
2020-08-28 21:34:00.517864,180.40,nvme2n1_rMB/s
2020-08-28 21:34:00.517864,313.41,nvme2n1_wMB/s
2020-08-28 21:34:00.517864,0.00,nvme2n1_rrqm/s
2020-08-28 21:34:00.517864,0.00,nvme2n1_wrqm/s
2020-08-28 21:34:00.517864,0.00,nvme2n1_%rrqm
2020-08-28 21:34:00.517864,0.00,nvme2n1_%wrqm
2020-08-28 21:34:00.517864,0.68,nvme2n1_r_await
2020-08-28 21:34:00.517864,0.06,nvme2n1_w_await
2020-08-28 21:34:00.517864,14.71,nvme2n1_aqu-sz
2020-08-28 21:34:00.517864,8.51,nvme2n1_rareq-sz
2020-08-28 21:34:00.517864,37.73,nvme2n1_wareq-sz
2020-08-28 21:34:00.517864,0.03,nvme2n1_svctm
2020-08-28 21:34:00.517864,102.00,nvme2n1_%util
2020-08-28 21:34:01.517727,21781.00,nvme2n1_r/s
2020-08-28 21:34:01.517727,8622.00,nvme2n1_w/s
2020-08-28 21:34:01.517727,181.25,nvme2n1_rMB/s
2020-08-28 21:34:01.517727,313.58,nvme2n1_wMB/s
2020-08-28 21:34:01.517727,0.00,nvme2n1_rrqm/s
2020-08-28 21:34:01.517727,0.00,nvme2n1_wrqm/s
2020-08-28 21:34:01.517727,0.00,nvme2n1_%rrqm
2020-08-28 21:34:01.517727,0.00,nvme2n1_%wrqm
2020-08-28 21:34:01.517727,0.67,nvme2n1_r_await
2020-08-28 21:34:01.517727,0.06,nvme2n1_w_await
2020-08-28 21:34:01.517727,14.59,nvme2n1_aqu-sz
2020-08-28 21:34:01.517727,8.52,nvme2n1_rareq-sz
2020-08-28 21:34:01.517727,37.24,nvme2n1_wareq-sz
2020-08-28 21:34:01.517727,0.03,nvme2n1_svctm
2020-08-28 21:34:01.517727,103.20,nvme2n1_%util
2020-08-28 21:34:02.517920,21721.00,nvme2n1_r/s
2020-08-28 21:34:02.517920,8527.00,nvme2n1_w/s
2020-08-28 21:34:02.517920,179.60,nvme2n1_rMB/s
2020-08-28 21:34:02.517920,310.87,nvme2n1_wMB/s
2020-08-28 21:34:02.517920,0.00,nvme2n1_rrqm/s
2020-08-28 21:34:02.517920,0.00,nvme2n1_wrqm/s
2020-08-28 21:34:02.517920,0.00,nvme2n1_%rrqm
2020-08-28 21:34:02.517920,0.00,nvme2n1_%wrqm
2020-08-28 21:34:02.517920,0.67,nvme2n1_r_await
2020-08-28 21:34:02.517920,0.07,nvme2n1_w_await
2020-08-28 21:34:02.517920,14.37,nvme2n1_aqu-sz
2020-08-28 21:34:02.517920,8.47,nvme2n1_rareq-sz
2020-08-28 21:34:02.517920,37.33,nvme2n1_wareq-sz
2020-08-28 21:34:02.517920,0.03,nvme2n1_svctm
2020-08-28 21:34:02.517920,101.60,nvme2n1_%util
2020-08-28 21:34:03.517806,21837.00,nvme2n1_r/s
2020-08-28 21:34:03.517806,8391.00,nvme2n1_w/s
2020-08-28 21:34:03.517806,180.39,nvme2n1_rMB/s
2020-08-28 21:34:03.517806,308.98,nvme2n1_wMB/s
2020-08-28 21:34:03.517806,0.00,nvme2n1_rrqm/s
2020-08-28 21:34:03.517806,0.00,nvme2n1_wrqm/s
2020-08-28 21:34:03.517806,0.00,nvme2n1_%rrqm
2020-08-28 21:34:03.517806,0.00,nvme2n1_%wrqm
2020-08-28 21:34:03.517806,0.64,nvme2n1_r_await
2020-08-28 21:34:03.517806,0.08,nvme2n1_w_await
2020-08-28 21:34:03.517806,14.00,nvme2n1_aqu-sz
2020-08-28 21:34:03.517806,8.46,nvme2n1_rareq-sz
2020-08-28 21:34:03.517806,37.71,nvme2n1_wareq-sz
2020-08-28 21:34:03.517806,0.03,nvme2n1_svctm
2020-08-28 21:34:03.517806,101.60,nvme2n1_%util
2020-08-28 21:34:04.517950,16410.00,nvme2n1_r/s
2020-08-28 21:34:04.517950,38680.00,nvme2n1_w/s
2020-08-28 21:34:04.517950,135.76,nvme2n1_rMB/s
2020-08-28 21:34:04.517950,520.23,nvme2n1_wMB/s
2020-08-28 21:34:04.517950,0.00,nvme2n1_rrqm/s
2020-08-28 21:34:04.517950,2.00,nvme2n1_wrqm/s
2020-08-28 21:34:04.517950,0.00,nvme2n1_%rrqm
2020-08-28 21:34:04.517950,0.01,nvme2n1_%wrqm
2020-08-28 21:34:04.517950,0.83,nvme2n1_r_await
2020-08-28 21:34:04.517950,1.25,nvme2n1_w_await
2020-08-28 21:34:04.517950,61.43,nvme2n1_aqu-sz
2020-08-28 21:34:04.517950,8.47,nvme2n1_rareq-sz
2020-08-28 21:34:04.517950,13.77,nvme2n1_wareq-sz
2020-08-28 21:34:04.517950,0.02,nvme2n1_svctm
2020-08-28 21:34:04.517950,101.20,nvme2n1_%util
2020-08-28 21:34:05.517858,13692.00,nvme2n1_r/s
2020-08-28 21:34:05.517858,45674.00,nvme2n1_w/s
2020-08-28 21:34:05.517858,113.46,nvme2n1_rMB/s
2020-08-28 21:34:05.517858,540.40,nvme2n1_wMB/s
2020-08-28 21:34:05.517858,0.00,nvme2n1_rrqm/s
2020-08-28 21:34:05.517858,0.00,nvme2n1_wrqm/s
2020-08-28 21:34:05.517858,0.00,nvme2n1_%rrqm
2020-08-28 21:34:05.517858,0.00,nvme2n1_%wrqm
2020-08-28 21:34:05.517858,0.96,nvme2n1_r_await
2020-08-28 21:34:05.517858,1.45,nvme2n1_w_await
2020-08-28 21:34:05.517858,78.53,nvme2n1_aqu-sz
2020-08-28 21:34:05.517858,8.49,nvme2n1_rareq-sz
2020-08-28 21:34:05.517858,12.12,nvme2n1_wareq-sz
2020-08-28 21:34:05.517858,0.02,nvme2n1_svctm
2020-08-28 21:34:05.517858,100.40,nvme2n1_%util
2020-08-28 21:34:06.517924,13190.00,nvme2n1_r/s
2020-08-28 21:34:06.517924,47633.00,nvme2n1_w/s
2020-08-28 21:34:06.517924,108.74,nvme2n1_rMB/s
2020-08-28 21:34:06.517924,520.60,nvme2n1_wMB/s
2020-08-28 21:34:06.517924,0.00,nvme2n1_rrqm/s
2020-08-28 21:34:06.517924,0.00,nvme2n1_wrqm/s
2020-08-28 21:34:06.517924,0.00,nvme2n1_%rrqm
2020-08-28 21:34:06.517924,0.00,nvme2n1_%wrqm
2020-08-28 21:34:06.517924,1.02,nvme2n1_r_await
2020-08-28 21:34:06.517924,1.38,nvme2n1_w_await
2020-08-28 21:34:06.517924,78.40,nvme2n1_aqu-sz
2020-08-28 21:34:06.517924,8.44,nvme2n1_rareq-sz
2020-08-28 21:34:06.517924,11.19,nvme2n1_wareq-sz
2020-08-28 21:34:06.517924,0.02,nvme2n1_svctm
2020-08-28 21:34:06.517924,102.40,nvme2n1_%util
2020-08-28 21:34:07.518044,13010.00,nvme2n1_r/s
2020-08-28 21:34:07.518044,45536.00,nvme2n1_w/s
2020-08-28 21:34:07.518044,107.96,nvme2n1_rMB/s
2020-08-28 21:34:07.518044,510.27,nvme2n1_wMB/s
2020-08-28 21:34:07.518044,0.00,nvme2n1_rrqm/s
2020-08-28 21:34:07.518044,0.00,nvme2n1_wrqm/s
2020-08-28 21:34:07.518044,0.00,nvme2n1_%rrqm
2020-08-28 21:34:07.518044,0.00,nvme2n1_%wrqm
2020-08-28 21:34:07.518044,0.98,nvme2n1_r_await
2020-08-28 21:34:07.518044,1.57,nvme2n1_w_await
2020-08-28 21:34:07.518044,83.76,nvme2n1_aqu-sz
2020-08-28 21:34:07.518044,8.50,nvme2n1_rareq-sz
2020-08-28 21:34:07.518044,11.47,nvme2n1_wareq-sz
2020-08-28 21:34:07.518044,0.02,nvme2n1_svctm
2020-08-28 21:34:07.518044,101.20,nvme2n1_%util
2020-08-28 21:34:08.517990,13523.00,nvme2n1_r/s
2020-08-28 21:34:08.517990,41434.00,nvme2n1_w/s
2020-08-28 21:34:08.517990,112.27,nvme2n1_rMB/s
2020-08-28 21:34:08.517990,479.05,nvme2n1_wMB/s
2020-08-28 21:34:08.517990,0.00,nvme2n1_rrqm/s
2020-08-28 21:34:08.517990,0.00,nvme2n1_wrqm/s
2020-08-28 21:34:08.517990,0.00,nvme2n1_%rrqm
2020-08-28 21:34:08.517990,0.00,nvme2n1_%wrqm
2020-08-28 21:34:08.517990,0.98,nvme2n1_r_await
2020-08-28 21:34:08.517990,1.63,nvme2n1_w_await
2020-08-28 21:34:08.517990,79.74,nvme2n1_aqu-sz
2020-08-28 21:34:08.517990,8.50,nvme2n1_rareq-sz
2020-08-28 21:34:08.517990,11.84,nvme2n1_wareq-sz
2020-08-28 21:34:08.517990,0.02,nvme2n1_svctm
2020-08-28 21:34:08.517990,101.20,nvme2n1_%util
2020-08-28 21:34:09.518015,19157.00,nvme2n1_r/s
2020-08-28 21:34:09.518015,16212.00,nvme2n1_w/s
2020-08-28 21:34:09.518015,158.72,nvme2n1_rMB/s
2020-08-28 21:34:09.518015,345.49,nvme2n1_wMB/s
2020-08-28 21:34:09.518015,0.00,nvme2n1_rrqm/s
2020-08-28 21:34:09.518015,9.00,nvme2n1_wrqm/s
2020-08-28 21:34:09.518015,0.00,nvme2n1_%rrqm
