collected,value,metric
2020-08-28 21:34:57,3.3450000000000000,avg_latency
2020-08-28 21:34:57,20.324,max_latency
2020-08-28 21:34:57,0.405,min_latency
2020-08-28 21:34:57,5280,rate
2020-08-28 21:34:58,3.2750000000000000,avg_latency
2020-08-28 21:34:58,19.725,max_latency
2020-08-28 21:34:58,0.368,min_latency
2020-08-28 21:34:58,7305,rate
2020-08-28 21:34:59,3.4330000000000000,avg_latency
2020-08-28 21:34:59,20.100,max_latency
2020-08-28 21:34:59,0.412,min_latency
2020-08-28 21:34:59,7012,rate
2020-08-28 21:35:00,3.3890000000000000,avg_latency
2020-08-28 21:35:00,24.600,max_latency
2020-08-28 21:35:00,0.418,min_latency
2020-08-28 21:35:00,7077,rate
2020-08-28 21:35:01,2.5760000000000000,avg_latency
2020-08-28 21:35:01,35.455,max_latency
2020-08-28 21:35:01,0.393,min_latency
2020-08-28 21:35:01,9320,rate
2020-08-28 21:35:02,2.1090000000000000,avg_latency
2020-08-28 21:35:02,12.216,max_latency
2020-08-28 21:35:02,0.394,min_latency
2020-08-28 21:35:02,11387,rate
2020-08-28 21:35:03,1.9420000000000000,avg_latency
2020-08-28 21:35:03,7.762,max_latency
2020-08-28 21:35:03,0.383,min_latency
2020-08-28 21:35:03,12357,rate
2020-08-28 21:35:04,2.2640000000000000,avg_latency
2020-08-28 21:35:04,19.423,max_latency
2020-08-28 21:35:04,0.386,min_latency
2020-08-28 21:35:04,10565,rate
2020-08-28 21:35:05,3.1910000000000000,avg_latency
2020-08-28 21:35:05,24.516,max_latency
2020-08-28 21:35:05,0.424,min_latency
2020-08-28 21:35:05,7546,rate
2020-08-28 21:35:06,3.4170000000000000,avg_latency
2020-08-28 21:35:06,21.096,max_latency
2020-08-28 21:35:06,0.395,min_latency
2020-08-28 21:35:06,6993,rate
2020-08-28 21:35:07,3.1050000000000000,avg_latency
2020-08-28 21:35:07,23.881,max_latency
2020-08-28 21:35:07,0.371,min_latency
2020-08-28 21:35:07,7761,rate
2020-08-28 21:35:08,3.4490000000000000,avg_latency
2020-08-28 21:35:08,33.585,max_latency
2020-08-28 21:35:08,0.408,min_latency
2020-08-28 21:35:08,6897,rate
2020-08-28 21:35:09,4.3330000000000000,avg_latency
2020-08-28 21:35:09,39.043,max_latency
2020-08-28 21:35:09,0.434,min_latency
2020-08-28 21:35:09,5589,rate
2020-08-28 21:35:10,3.2430000000000000,avg_latency
2020-08-28 21:35:10,39.690,max_latency
2020-08-28 21:35:10,0.435,min_latency
2020-08-28 21:35:10,7400,rate
2020-08-28 21:35:11,2.3520000000000000,avg_latency
2020-08-28 21:35:11,10.191,max_latency
2020-08-28 21:35:11,0.429,min_latency
2020-08-28 21:35:11,10202,rate
2020-08-28 21:35:12,2.3030000000000000,avg_latency
2020-08-28 21:35:12,11.236,max_latency
2020-08-28 21:35:12,0.422,min_latency
2020-08-28 21:35:12,10428,rate
2020-08-28 21:35:13,2.1580000000000000,avg_latency
2020-08-28 21:35:13,10.522,max_latency
2020-08-28 21:35:13,0.384,min_latency
