collected,value,metric
2020-08-28 21:33:57.514152,65945364,MemTotal
2020-08-28 21:33:57.514152,416308,MemFree
2020-08-28 21:33:57.514152,60047332,MemAvailable
2020-08-28 21:33:57.514152,224480,Buffers
2020-08-28 21:33:57.514152,62957924,Cached
2020-08-28 21:33:57.514152,7092,SwapCached
2020-08-28 21:33:57.514152,13129876,Active
2020-08-28 21:33:57.514152,50083732,Inactive
2020-08-28 21:33:57.514152,4108744,Active(anon)
2020-08-28 21:33:57.514152,230660,Inactive(anon)
2020-08-28 21:33:57.514152,9021132,Active(file)
2020-08-28 21:33:57.514152,49853072,Inactive(file)
2020-08-28 21:33:57.514152,10332,Unevictable
2020-08-28 21:33:57.514152,10332,Mlocked
2020-08-28 21:33:57.514152,33554428,SwapTotal
2020-08-28 21:33:57.514152,33403132,SwapFree
2020-08-28 21:33:57.514152,628,Dirty
2020-08-28 21:33:57.514152,0,Writeback
2020-08-28 21:33:57.514152,40284,AnonPages
2020-08-28 21:33:57.514152,4330340,Mapped
2020-08-28 21:33:57.514152,4303636,Shmem
2020-08-28 21:33:57.514152,1743000,Slab
2020-08-28 21:33:57.514152,1482152,SReclaimable
2020-08-28 21:33:57.514152,260848,SUnreclaim
2020-08-28 21:33:57.514152,8112,KernelStack
2020-08-28 21:33:57.514152,31236,PageTables
2020-08-28 21:33:57.514152,0,NFS_Unstable
2020-08-28 21:33:57.514152,0,Bounce
2020-08-28 21:33:57.514152,0,WritebackTmp
2020-08-28 21:33:57.514152,66527108,CommitLimit
2020-08-28 21:33:57.514152,5105536,Committed_AS
2020-08-28 21:33:57.514152,34359738367,VmallocTotal
2020-08-28 21:33:57.514152,0,VmallocUsed
2020-08-28 21:33:57.514152,0,VmallocChunk
2020-08-28 21:33:57.514152,0,HardwareCorrupted
2020-08-28 21:33:57.514152,0,AnonHugePages
2020-08-28 21:33:57.514152,0,ShmemHugePages
2020-08-28 21:33:57.514152,0,ShmemPmdMapped
2020-08-28 21:33:57.514152,0,CmaTotal
2020-08-28 21:33:57.514152,0,CmaFree
2020-08-28 21:33:57.514152,0,HugePages_Total
2020-08-28 21:33:57.514152,0,HugePages_Free
2020-08-28 21:33:57.514152,0,HugePages_Rsvd
2020-08-28 21:33:57.514152,0,HugePages_Surp
2020-08-28 21:33:57.514152,2048,Hugepagesize
2020-08-28 21:33:57.514152,2430512,DirectMap4k
2020-08-28 21:33:57.514152,61446144,DirectMap2M
2020-08-28 21:33:57.514152,4194304,DirectMap1G
2020-08-28 21:33:58.515334,65945364,MemTotal
2020-08-28 21:33:58.515334,472120,MemFree
2020-08-28 21:33:58.515334,59954120,MemAvailable
2020-08-28 21:33:58.515334,224792,Buffers
2020-08-28 21:33:58.515334,62818388,Cached
2020-08-28 21:33:58.515334,7060,SwapCached
2020-08-28 21:33:58.515334,13232036,Active
2020-08-28 21:33:58.515334,49870704,Inactive
2020-08-28 21:33:58.515334,4131748,Active(anon)
2020-08-28 21:33:58.515334,239372,Inactive(anon)
2020-08-28 21:33:58.515334,9100288,Active(file)
2020-08-28 21:33:58.515334,49631332,Inactive(file)
2020-08-28 21:33:58.515334,10332,Unevictable
2020-08-28 21:33:58.515334,10332,Mlocked
2020-08-28 21:33:58.515334,33554428,SwapTotal
2020-08-28 21:33:58.515334,33403132,SwapFree
2020-08-28 21:33:58.515334,1836,Dirty
2020-08-28 21:33:58.515334,152,Writeback
2020-08-28 21:33:58.515334,72132,AnonPages
2020-08-28 21:33:58.515334,4335156,Mapped
2020-08-28 21:33:58.515334,4303640,Shmem
2020-08-28 21:33:58.515334,1738904,Slab
2020-08-28 21:33:58.515334,1475712,SReclaimable
2020-08-28 21:33:58.515334,263192,SUnreclaim
2020-08-28 21:33:58.515334,8880,KernelStack
2020-08-28 21:33:58.515334,102416,PageTables
2020-08-28 21:33:58.515334,0,NFS_Unstable
2020-08-28 21:33:58.515334,0,Bounce
2020-08-28 21:33:58.515334,0,WritebackTmp
2020-08-28 21:33:58.515334,66527108,CommitLimit
2020-08-28 21:33:58.515334,5328644,Committed_AS
2020-08-28 21:33:58.515334,34359738367,VmallocTotal
2020-08-28 21:33:58.515334,0,VmallocUsed
2020-08-28 21:33:58.515334,0,VmallocChunk
2020-08-28 21:33:58.515334,0,HardwareCorrupted
2020-08-28 21:33:58.515334,0,AnonHugePages
2020-08-28 21:33:58.515334,0,ShmemHugePages
2020-08-28 21:33:58.515334,0,ShmemPmdMapped
2020-08-28 21:33:58.515334,0,CmaTotal
2020-08-28 21:33:58.515334,0,CmaFree
2020-08-28 21:33:58.515334,0,HugePages_Total
2020-08-28 21:33:58.515334,0,HugePages_Free
2020-08-28 21:33:58.515334,0,HugePages_Rsvd
2020-08-28 21:33:58.515334,0,HugePages_Surp
2020-08-28 21:33:58.515334,2048,Hugepagesize
2020-08-28 21:33:58.515334,2430512,DirectMap4k
2020-08-28 21:33:58.515334,61446144,DirectMap2M
2020-08-28 21:33:58.515334,4194304,DirectMap1G
2020-08-28 21:33:59.516730,65945364,MemTotal
2020-08-28 21:33:59.516730,437648,MemFree
2020-08-28 21:33:59.516730,59907912,MemAvailable
2020-08-28 21:33:59.516730,224792,Buffers
2020-08-28 21:33:59.516730,62808068,Cached
2020-08-28 21:33:59.516730,7060,SwapCached
2020-08-28 21:33:59.516730,13322692,Active
2020-08-28 21:33:59.516730,49772556,Inactive
2020-08-28 21:33:59.516730,4124480,Active(anon)
2020-08-28 21:33:59.516730,246648,Inactive(anon)
2020-08-28 21:33:59.516730,9198212,Active(file)
2020-08-28 21:33:59.516730,49525908,Inactive(file)
2020-08-28 21:33:59.516730,10332,Unevictable
2020-08-28 21:33:59.516730,10332,Mlocked
2020-08-28 21:33:59.516730,33554428,SwapTotal
2020-08-28 21:33:59.516730,33403132,SwapFree
2020-08-28 21:33:59.516730,2712,Dirty
2020-08-28 21:33:59.516730,56,Writeback
2020-08-28 21:33:59.516730,72140,AnonPages
2020-08-28 21:33:59.516730,4335156,Mapped
2020-08-28 21:33:59.516730,4303640,Shmem
2020-08-28 21:33:59.516730,1734668,Slab
2020-08-28 21:33:59.516730,1471476,SReclaimable
2020-08-28 21:33:59.516730,263192,SUnreclaim
2020-08-28 21:33:59.516730,8880,KernelStack
2020-08-28 21:33:59.516730,150980,PageTables
2020-08-28 21:33:59.516730,0,NFS_Unstable
2020-08-28 21:33:59.516730,0,Bounce
2020-08-28 21:33:59.516730,0,WritebackTmp
2020-08-28 21:33:59.516730,66527108,CommitLimit
2020-08-28 21:33:59.516730,5328644,Committed_AS
2020-08-28 21:33:59.516730,34359738367,VmallocTotal
2020-08-28 21:33:59.516730,0,VmallocUsed
2020-08-28 21:33:59.516730,0,VmallocChunk
2020-08-28 21:33:59.516730,0,HardwareCorrupted
2020-08-28 21:33:59.516730,0,AnonHugePages
2020-08-28 21:33:59.516730,0,ShmemHugePages
2020-08-28 21:33:59.516730,0,ShmemPmdMapped
2020-08-28 21:33:59.516730,0,CmaTotal
2020-08-28 21:33:59.516730,0,CmaFree
2020-08-28 21:33:59.516730,0,HugePages_Total
2020-08-28 21:33:59.516730,0,HugePages_Free
2020-08-28 21:33:59.516730,0,HugePages_Rsvd
2020-08-28 21:33:59.516730,0,HugePages_Surp
2020-08-28 21:33:59.516730,2048,Hugepagesize
2020-08-28 21:33:59.516730,2430512,DirectMap4k
2020-08-28 21:33:59.516730,61446144,DirectMap2M
2020-08-28 21:33:59.516730,4194304,DirectMap1G
2020-08-28 21:34:00.518116,65945364,MemTotal
2020-08-28 21:34:00.518116,403424,MemFree
2020-08-28 21:34:00.518116,59857596,MemAvailable
2020-08-28 21:34:00.518116,224792,Buffers
2020-08-28 21:34:00.518116,62800868,Cached
2020-08-28 21:34:00.518116,7060,SwapCached
2020-08-28 21:34:00.518116,13414604,Active
2020-08-28 21:34:00.518116,49669008,Inactive
2020-08-28 21:34:00.518116,4118128,Active(anon)
2020-08-28 21:34:00.518116,253000,Inactive(anon)
