collected,value,metric
2020-08-28 21:33:57.520796,2,r
2020-08-28 21:33:57.520796,0,b
2020-08-28 21:33:57.520796,151296,swpd
2020-08-28 21:33:57.520796,415308,free
2020-08-28 21:33:57.520796,224620,buff
2020-08-28 21:33:57.520796,64440556,cache
2020-08-28 21:33:57.520796,0,si
2020-08-28 21:33:57.520796,0,so
2020-08-28 21:33:57.520796,2928,bi
2020-08-28 21:33:57.520796,5597,bo
2020-08-28 21:33:57.520796,7,in
2020-08-28 21:33:57.520796,5,cs
2020-08-28 21:33:57.520796,7,us
2020-08-28 21:33:57.520796,3,sy
2020-08-28 21:33:57.520796,85,id
2020-08-28 21:33:57.520796,5,wa
2020-08-28 21:33:57.520796,0,st
2020-08-28 21:33:58.521116,9,r
2020-08-28 21:33:58.521116,13,b
2020-08-28 21:33:58.521116,151296,swpd
2020-08-28 21:33:58.521116,469144,free
2020-08-28 21:33:58.521116,224792,buff
2020-08-28 21:33:58.521116,64297704,cache
2020-08-28 21:33:58.521116,0,si
2020-08-28 21:33:58.521116,0,so
2020-08-28 21:33:58.521116,184100,bi
2020-08-28 21:33:58.521116,321324,bo
2020-08-28 21:33:58.521116,44722,in
2020-08-28 21:33:58.521116,350816,cs
2020-08-28 21:33:58.521116,21,us
2020-08-28 21:33:58.521116,13,sy
2020-08-28 21:33:58.521116,27,id
2020-08-28 21:33:58.521116,39,wa
2020-08-28 21:33:58.521116,0,st
2020-08-28 21:33:59.521403,10,r
2020-08-28 21:33:59.521403,15,b
2020-08-28 21:33:59.521403,151296,swpd
2020-08-28 21:33:59.521403,437400,free
2020-08-28 21:33:59.521403,224792,buff
2020-08-28 21:33:59.521403,64279664,cache
2020-08-28 21:33:59.521403,0,si
2020-08-28 21:33:59.521403,0,so
2020-08-28 21:33:59.521403,183944,bi
2020-08-28 21:33:59.521403,323328,bo
2020-08-28 21:33:59.521403,44611,in
2020-08-28 21:33:59.521403,347180,cs
2020-08-28 21:33:59.521403,20,us
2020-08-28 21:33:59.521403,13,sy
2020-08-28 21:33:59.521403,27,id
2020-08-28 21:33:59.521403,40,wa
2020-08-28 21:33:59.521403,0,st
2020-08-28 21:34:00.521702,11,r
2020-08-28 21:34:00.521702,8,b
2020-08-28 21:34:00.521702,151296,swpd
2020-08-28 21:34:00.521702,399952,free
2020-08-28 21:34:00.521702,224792,buff
2020-08-28 21:34:00.521702,64271832,cache
2020-08-28 21:34:00.521702,0,si
2020-08-28 21:34:00.521702,0,so
