collected,samples,min_latency,avg_latency,max_latency
1598650497,5280,0.405,3.3450000000000000,20.324
1598650498,7305,0.368,3.2750000000000000,19.725
1598650499,7012,0.412,3.4330000000000000,20.100
1598650500,7077,0.418,3.3890000000000000,24.600
1598650501,9320,0.393,2.5760000000000000,35.455
1598650502,11387,0.394,2.1090000000000000,12.216
1598650503,12357,0.383,1.9420000000000000,7.762
1598650504,10565,0.386,2.2640000000000000,19.423
1598650505,7546,0.424,3.1910000000000000,24.516
1598650506,6993,0.395,3.4170000000000000,21.096
1598650507,7761,0.371,3.1050000000000000,23.881
1598650508,6897,0.408,3.4490000000000000,33.585
1598650509,5589,0.434,4.3330000000000000,39.043
1598650510,7400,0.435,3.2430000000000000,39.690
1598650511,10202,0.429,2.3520000000000000,10.191
1598650512,10428,0.422,2.3030000000000000,11.236
1598650513,11116,0.384,2.1580000000000000,10.522
1598650514,7447,0.371,3.2150000000000000,30.132
1598650515,6593,0.398,3.6480000000000000,33.084
1598650516,6916,0.397,3.4510000000000000,25.680
1598650517,6247,0.412,3.8320000000000000,32.791
1598650518,5339,0.408,4.4860000000000000,35.090
1598650519,5372,0.419,4.5150000000000000,38.371
1598650520,6448,0.391,3.7220000000000000,57.738
1598650521,10371,0.421,2.3140000000000000,8.468
1598650522,10411,0.415,2.3060000000000000,10.788
1598650523,10582,0.401,2.2670000000000000,8.719
1598650524,8752,0.381,2.7330000000000000,25.605
1598650525,6520,0.406,3.6940000000000000,27.164
1598650526,6165,0.393,3.8900000000000000,30.362
1598650527,4339,0.473,5.4650000000000000,44.948
1598650528,5767,0.428,4.2110000000000000,43.133
1598650529,6701,0.419,3.5680000000000000,27.474
1598650530,8004,0.394,3.0110000000000000,26.004
1598650531,10821,0.384,2.2200000000000000,10.654
1598650532,10359,0.424,2.3170000000000000,10.458
1598650533,9764,0.420,2.4540000000000000,11.394
1598650534,7519,0.385,3.1870000000000000,41.968
1598650535,3985,0.430,5.9090000000000000,49.502
1598650536,3995,0.410,6.1320000000000000,55.724
1598650537,4534,0.460,5.2830000000000000,50.298
1598650538,4218,0.434,5.6610000000000000,46.222
1598650539,5681,0.377,4.2450000000000000,47.211
1598650540,6387,0.375,3.7710000000000000,25.815
1598650541,6427,0.403,3.7340000000000000,27.182
1598650542,7469,0.391,3.2110000000000000,54.566
1598650543,9138,0.424,2.6260000000000000,10.464
1598650544,8947,0.400,2.6800000000000000,12.606
1598650545,9186,0.428,2.6170000000000000,11.296
1598650546,8562,0.420,2.7930000000000000,25.655
1598650547,6417,0.409,3.7290000000000000,28.695
1598650548,6448,0.384,3.7460000000000000,33.605
1598650549,6573,0.408,3.6260000000000000,36.295
1598650550,4332,0.448,5.5070000000000000,47.024
1598650551,4435,0.404,5.4840000000000000,49.907
1598650552,4710,0.371,5.0550000000000000,45.975
1598650553,4786,0.391,5.0550000000000000,46.207
1598650554,9509,0.350,2.5230000000000000,12.293
1598650555,9399,0.385,2.5540000000000000,12.512
1598650556,10846,0.379,2.2130000000000000,8.399
1598650557,9330,0.384,2.5560000000000000,22.958
1598650558,6505,0.393,3.7120000000000000,26.614
1598650559,5994,0.406,3.9670000000000000,29.477
1598650560,4824,0.409,5.0180000000000000,49.949
1598650561,3980,0.415,5.9750000000000000,42.364
1598650562,4459,0.425,5.4360000000000000,53.091
1598650563,5643,0.415,4.2530000000000000,48.977
1598650564,6168,0.400,3.8230000000000000,26.207
1598650565,10487,0.376,2.3280000000000000,37.233
1598650566,11029,0.389,2.1720000000000000,9.212
1598650567,11421,0.365,2.1040000000000000,11.519
1598650568,9253,0.399,2.5930000000000000,19.441
1598650569,6737,0.385,3.5270000000000000,28.497
1598650570,5853,0.421,4.1410000000000000,28.529
1598650571,4828,0.440,4.8920000000000000,44.149
1598650572,4909,0.432,4.9680000000000000,46.550
1598650573,4367,0.376,5.4970000000000000,58.480
1598650574,7190,0.394,3.3310000000000000,22.787
1598650575,8720,0.357,2.7590000000000000,26.205
1598650576,10106,0.395,2.3710000000000000,9.522
