collected,value,metric
2020-10-22 12:54:06.124863,42.49,disk0_KB/t
2020-10-22 12:54:06.124863,21.0,disk0_tps
2020-10-22 12:54:06.124863,0.88,disk0_MB/s
2020-10-22 12:54:06.124863,21.05,disk2_KB/t
2020-10-22 12:54:06.124863,0.0,disk2_tps
2020-10-22 12:54:06.124863,0.0,disk2_MB/s
2020-10-22 12:54:06.124863,3.0,us
2020-10-22 12:54:06.124863,1.0,sy
2020-10-22 12:54:06.124863,96.0,id
2020-10-22 12:54:07.125753,10.46,disk0_KB/t
2020-10-22 12:54:07.125753,13.0,disk0_tps
2020-10-22 12:54:07.125753,0.13,disk0_MB/s
2020-10-22 12:54:07.125753,0.0,disk2_KB/t
2020-10-22 12:54:07.125753,0.0,disk2_tps
2020-10-22 12:54:07.125753,0.0,disk2_MB/s
2020-10-22 12:54:07.125753,39.0,us
2020-10-22 12:54:07.125753,44.0,sy
2020-10-22 12:54:07.125753,17.0,id
2020-10-22 12:54:08.126173,95.72,disk0_KB/t
2020-10-22 12:54:08.126173,43.0,disk0_tps
2020-10-22 12:54:08.126173,4.02,disk0_MB/s
2020-10-22 12:54:08.126173,0.0,disk2_KB/t
2020-10-22 12:54:08.126173,0.0,disk2_tps
2020-10-22 12:54:08.126173,0.0,disk2_MB/s
2020-10-22 12:54:08.126173,46.0,us
2020-10-22 12:54:08.126173,42.0,sy
2020-10-22 12:54:08.126173,12.0,id
2020-10-22 12:54:09.131149,300.0,disk0_KB/t
2020-10-22 12:54:09.131149,1.0,disk0_tps
2020-10-22 12:54:09.131149,0.29,disk0_MB/s
2020-10-22 12:54:09.131149,0.0,disk2_KB/t
2020-10-22 12:54:09.131149,0.0,disk2_tps
2020-10-22 12:54:09.131149,0.0,disk2_MB/s
2020-10-22 12:54:09.131149,39.0,us
2020-10-22 12:54:09.131149,42.0,sy
2020-10-22 12:54:09.131149,19.0,id
2020-10-22 12:54:10.134124,0.0,disk0_KB/t
2020-10-22 12:54:10.134124,0.0,disk0_tps
2020-10-22 12:54:10.134124,0.0,disk0_MB/s
2020-10-22 12:54:10.134124,0.0,disk2_KB/t
2020-10-22 12:54:10.134124,0.0,disk2_tps
2020-10-22 12:54:10.134124,0.0,disk2_MB/s
2020-10-22 12:54:10.134124,36.0,us
2020-10-22 12:54:10.134124,43.0,sy
2020-10-22 12:54:10.134124,21.0,id
2020-10-22 12:54:11.136334,12.8,disk0_KB/t
2020-10-22 12:54:11.136334,5.0,disk0_tps
2020-10-22 12:54:11.136334,0.06,disk0_MB/s
2020-10-22 12:54:11.136334,0.0,disk2_KB/t
2020-10-22 12:54:11.136334,0.0,disk2_tps
2020-10-22 12:54:11.136334,0.0,disk2_MB/s
2020-10-22 12:54:11.136334,35.0,us
2020-10-22 12:54:11.136334,47.0,sy
2020-10-22 12:54:11.136334,18.0,id
2020-10-22 12:54:12.138155,0.0,disk0_KB/t
2020-10-22 12:54:12.138155,0.0,disk0_tps
2020-10-22 12:54:12.138155,0.0,disk0_MB/s
2020-10-22 12:54:12.138155,0.0,disk2_KB/t
2020-10-22 12:54:12.138155,0.0,disk2_tps
2020-10-22 12:54:12.138155,0.0,disk2_MB/s
2020-10-22 12:54:12.138155,36.0,us
2020-10-22 12:54:12.138155,44.0,sy
2020-10-22 12:54:12.138155,21.0,id
2020-10-22 12:54:13.138736,0.0,disk0_KB/t
2020-10-22 12:54:13.138736,0.0,disk0_tps
2020-10-22 12:54:13.138736,0.0,disk0_MB/s
2020-10-22 12:54:13.138736,0.0,disk2_KB/t
2020-10-22 12:54:13.138736,0.0,disk2_tps
2020-10-22 12:54:13.138736,0.0,disk2_MB/s
2020-10-22 12:54:13.138736,39.0,us
2020-10-22 12:54:13.138736,41.0,sy
2020-10-22 12:54:13.138736,20.0,id
2020-10-22 12:54:14.139364,0.0,disk0_KB/t
2020-10-22 12:54:14.139364,0.0,disk0_tps
2020-10-22 12:54:14.139364,0.0,disk0_MB/s
2020-10-22 12:54:14.139364,0.0,disk2_KB/t
2020-10-22 12:54:14.139364,0.0,disk2_tps
2020-10-22 12:54:14.139364,0.0,disk2_MB/s
2020-10-22 12:54:14.139364,37.0,us
2020-10-22 12:54:14.139364,43.0,sy
2020-10-22 12:54:14.139364,19.0,id
2020-10-22 12:54:15.140063,0.0,disk0_KB/t
2020-10-22 12:54:15.140063,0.0,disk0_tps
2020-10-22 12:54:15.140063,0.0,disk0_MB/s
2020-10-22 12:54:15.140063,0.0,disk2_KB/t
2020-10-22 12:54:15.140063,0.0,disk2_tps
2020-10-22 12:54:15.140063,0.0,disk2_MB/s
2020-10-22 12:54:15.140063,36.0,us
2020-10-22 12:54:15.140063,44.0,sy
2020-10-22 12:54:15.140063,21.0,id
2020-10-22 12:54:16.143424,279.04,disk0_KB/t
2020-10-22 12:54:16.143424,71.0,disk0_tps
2020-10-22 12:54:16.143424,19.28,disk0_MB/s
2020-10-22 12:54:16.143424,0.0,disk2_KB/t
2020-10-22 12:54:16.143424,0.0,disk2_tps
2020-10-22 12:54:16.143424,0.0,disk2_MB/s
2020-10-22 12:54:16.143424,34.0,us
2020-10-22 12:54:16.143424,47.0,sy
2020-10-22 12:54:16.143424,20.0,id
