collected,value,metric
2020-08-30 21:02:32.283212,26.49,disk0_KB/t
2020-08-30 21:02:32.283212,18.0,disk0_tps
2020-08-30 21:02:32.283212,0.47,disk0_MB/s
2020-08-30 21:02:32.283212,2.0,us
2020-08-30 21:02:32.283212,1.0,sy
2020-08-30 21:02:32.283212,96.0,id
2020-08-30 21:02:33.283271,28.4,disk0_KB/t
2020-08-30 21:02:33.283271,20.0,disk0_tps
2020-08-30 21:02:33.283271,0.55,disk0_MB/s
2020-08-30 21:02:33.283271,12.0,us
2020-08-30 21:02:33.283271,4.0,sy
2020-08-30 21:02:33.283271,84.0,id
2020-08-30 21:02:34.286027,13.6,disk0_KB/t
2020-08-30 21:02:34.286027,10.0,disk0_tps
2020-08-30 21:02:34.286027,0.13,disk0_MB/s
2020-08-30 21:02:34.286027,11.0,us
2020-08-30 21:02:34.286027,4.0,sy
2020-08-30 21:02:34.286027,85.0,id
2020-08-30 21:02:35.286896,30.96,disk0_KB/t
2020-08-30 21:02:35.286896,23.0,disk0_tps
2020-08-30 21:02:35.286896,0.69,disk0_MB/s
2020-08-30 21:02:35.286896,9.0,us
2020-08-30 21:02:35.286896,4.0,sy
2020-08-30 21:02:35.286896,87.0,id
2020-08-30 21:02:36.290639,90.0,disk0_KB/t
2020-08-30 21:02:36.290639,4.0,disk0_tps
2020-08-30 21:02:36.290639,0.35,disk0_MB/s
2020-08-30 21:02:36.290639,6.0,us
2020-08-30 21:02:36.290639,4.0,sy
2020-08-30 21:02:36.290639,90.0,id
2020-08-30 21:02:37.290742,23.37,disk0_KB/t
2020-08-30 21:02:37.290742,63.0,disk0_tps
2020-08-30 21:02:37.290742,1.44,disk0_MB/s
2020-08-30 21:02:37.290742,7.0,us
2020-08-30 21:02:37.290742,4.0,sy
2020-08-30 21:02:37.290742,89.0,id
2020-08-30 21:02:38.291489,166.61,disk0_KB/t
2020-08-30 21:02:38.291489,46.0,disk0_tps
2020-08-30 21:02:38.291489,7.48,disk0_MB/s
2020-08-30 21:02:38.291489,7.0,us
2020-08-30 21:02:38.291489,4.0,sy
2020-08-30 21:02:38.291489,89.0,id
2020-08-30 21:02:39.291605,0.0,disk0_KB/t
2020-08-30 21:02:39.291605,0.0,disk0_tps
2020-08-30 21:02:39.291605,0.0,disk0_MB/s
2020-08-30 21:02:39.291605,7.0,us
2020-08-30 21:02:39.291605,4.0,sy
2020-08-30 21:02:39.291605,89.0,id
2020-08-30 21:02:40.291813,24.0,disk0_KB/t
2020-08-30 21:02:40.291813,3.0,disk0_tps
2020-08-30 21:02:40.291813,0.07,disk0_MB/s
2020-08-30 21:02:40.291813,5.0,us
2020-08-30 21:02:40.291813,4.0,sy
2020-08-30 21:02:40.291813,91.0,id
2020-08-30 21:02:41.291947,4.83,disk0_KB/t
2020-08-30 21:02:41.291947,247.0,disk0_tps
2020-08-30 21:02:41.291947,1.16,disk0_MB/s
2020-08-30 21:02:41.291947,6.0,us
2020-08-30 21:02:41.291947,4.0,sy
2020-08-30 21:02:41.291947,90.0,id
2020-08-30 21:02:42.292114,62.67,disk0_KB/t
2020-08-30 21:02:42.292114,12.0,disk0_tps
2020-08-30 21:02:42.292114,0.73,disk0_MB/s
2020-08-30 21:02:42.292114,7.0,us
2020-08-30 21:02:42.292114,4.0,sy
2020-08-30 21:02:42.292114,88.0,id
2020-08-30 21:02:43.292373,0.0,disk0_KB/t
2020-08-30 21:02:43.292373,0.0,disk0_tps
2020-08-30 21:02:43.292373,0.0,disk0_MB/s
2020-08-30 21:02:43.292373,5.0,us
2020-08-30 21:02:43.292373,4.0,sy
2020-08-30 21:02:43.292373,91.0,id
2020-08-30 21:02:44.293602,116.32,disk0_KB/t
2020-08-30 21:02:44.293602,38.0,disk0_tps
2020-08-30 21:02:44.293602,4.31,disk0_MB/s
2020-08-30 21:02:44.293602,14.0,us
2020-08-30 21:02:44.293602,4.0,sy
2020-08-30 21:02:44.293602,82.0,id
2020-08-30 21:02:45.295612,58.67,disk0_KB/t
2020-08-30 21:02:45.295612,21.0,disk0_tps
2020-08-30 21:02:45.295612,1.2,disk0_MB/s
2020-08-30 21:02:45.295612,7.0,us
2020-08-30 21:02:45.295612,4.0,sy
2020-08-30 21:02:45.295612,88.0,id
2020-08-30 21:02:46.297115,61.49,disk0_KB/t
2020-08-30 21:02:46.297115,83.0,disk0_tps
2020-08-30 21:02:46.297115,4.98,disk0_MB/s
2020-08-30 21:02:46.297115,6.0,us
2020-08-30 21:02:46.297115,4.0,sy
2020-08-30 21:02:46.297115,90.0,id
2020-08-30 21:02:47.297344,76.0,disk0_KB/t
2020-08-30 21:02:47.297344,2.0,disk0_tps
2020-08-30 21:02:47.297344,0.15,disk0_MB/s
2020-08-30 21:02:47.297344,5.0,us
2020-08-30 21:02:47.297344,4.0,sy
2020-08-30 21:02:47.297344,91.0,id
2020-08-30 21:02:48.297728,56.9,disk0_KB/t
2020-08-30 21:02:48.297728,301.0,disk0_tps
2020-08-30 21:02:48.297728,16.72,disk0_MB/s
2020-08-30 21:02:48.297728,8.0,us
2020-08-30 21:02:48.297728,4.0,sy
2020-08-30 21:02:48.297728,88.0,id
2020-08-30 21:02:49.302826,20.73,disk0_KB/t
2020-08-30 21:02:49.302826,77.0,disk0_tps
2020-08-30 21:02:49.302826,1.55,disk0_MB/s
2020-08-30 21:02:49.302826,7.0,us
2020-08-30 21:02:49.302826,4.0,sy
2020-08-30 21:02:49.302826,89.0,id
2020-08-30 21:02:50.302947,5.49,disk0_KB/t
2020-08-30 21:02:50.302947,105.0,disk0_tps
2020-08-30 21:02:50.302947,0.56,disk0_MB/s
2020-08-30 21:02:50.302947,7.0,us
2020-08-30 21:02:50.302947,4.0,sy
2020-08-30 21:02:50.302947,89.0,id
2020-08-30 21:02:51.303215,243.43,disk0_KB/t
2020-08-30 21:02:51.303215,21.0,disk0_tps
2020-08-30 21:02:51.303215,4.99,disk0_MB/s
2020-08-30 21:02:51.303215,5.0,us
2020-08-30 21:02:51.303215,4.0,sy
2020-08-30 21:02:51.303215,92.0,id
2020-08-30 21:02:52.303760,912.0,disk0_KB/t
2020-08-30 21:02:52.303760,9.0,disk0_tps
2020-08-30 21:02:52.303760,8.01,disk0_MB/s
2020-08-30 21:02:52.303760,5.0,us
2020-08-30 21:02:52.303760,4.0,sy
2020-08-30 21:02:52.303760,91.0,id
2020-08-30 21:02:53.303808,27.79,disk0_KB/t
2020-08-30 21:02:53.303808,356.0,disk0_tps
2020-08-30 21:02:53.303808,9.66,disk0_MB/s
