collected,value,metric
2015-01-03 16:40:48.768959,0.0,sdc_rrqm/s
2015-01-03 16:40:48.768959,0.0,sdc_wrqm/s
2015-01-03 16:40:48.768959,5999.6,sdc_r/s
2015-01-03 16:40:48.768959,1.0,sdc_w/s
2015-01-03 16:40:48.768959,67.31,sdc_rMB/s
2015-01-03 16:40:48.768959,0.0,sdc_wMB/s
2015-01-03 16:40:48.768959,22.97,sdc_avgrq-sz
2015-01-03 16:40:48.768959,1.59,sdc_avgqu-sz
2015-01-03 16:40:48.768959,0.27,sdc_await
2015-01-03 16:40:48.768959,0.06,sdc_svctm
2015-01-03 16:40:48.768959,38.78,sdc_%util
2015-01-03 16:40:53.769576,0.0,sdc_rrqm/s
2015-01-03 16:40:53.769576,0.0,sdc_wrqm/s
2015-01-03 16:40:53.769576,5473.2,sdc_r/s
2015-01-03 16:40:53.769576,1.0,sdc_w/s
2015-01-03 16:40:53.769576,59.82,sdc_rMB/s
2015-01-03 16:40:53.769576,0.0,sdc_wMB/s
2015-01-03 16:40:53.769576,22.38,sdc_avgrq-sz
2015-01-03 16:40:53.769576,1.3,sdc_avgqu-sz
2015-01-03 16:40:53.769576,0.24,sdc_await
2015-01-03 16:40:53.769576,0.07,sdc_svctm
2015-01-03 16:40:53.769576,36.0,sdc_%util
2015-01-03 16:40:58.768988,0.0,sdc_rrqm/s
2015-01-03 16:40:58.768988,0.0,sdc_wrqm/s
2015-01-03 16:40:58.768988,3888.6,sdc_r/s
2015-01-03 16:40:58.768988,2.8,sdc_w/s
2015-01-03 16:40:58.768988,41.77,sdc_rMB/s
2015-01-03 16:40:58.768988,0.01,sdc_wMB/s
2015-01-03 16:40:58.768988,21.99,sdc_avgrq-sz
2015-01-03 16:40:58.768988,0.86,sdc_avgqu-sz
2015-01-03 16:40:58.768988,0.22,sdc_await
2015-01-03 16:40:58.768988,0.08,sdc_svctm
2015-01-03 16:40:58.768988,29.48,sdc_%util
2015-01-03 16:41:03.769282,0.0,sdc_rrqm/s
2015-01-03 16:41:03.769282,0.0,sdc_wrqm/s
2015-01-03 16:41:03.769282,3464.6,sdc_r/s
2015-01-03 16:41:03.769282,1.0,sdc_w/s
2015-01-03 16:41:03.769282,36.26,sdc_rMB/s
2015-01-03 16:41:03.769282,0.0,sdc_wMB/s
2015-01-03 16:41:03.769282,21.43,sdc_avgrq-sz
2015-01-03 16:41:03.769282,0.73,sdc_avgqu-sz
2015-01-03 16:41:03.769282,0.21,sdc_await
2015-01-03 16:41:03.769282,0.07,sdc_svctm
2015-01-03 16:41:03.769282,25.56,sdc_%util
