collected,value,metric
2020-08-26 01:52:05.256123,65945364,MemTotal
2020-08-26 01:52:05.256123,969648,MemFree
2020-08-26 01:52:05.256123,60062268,MemAvailable
2020-08-26 01:52:05.256123,107276,Buffers
2020-08-26 01:52:05.256123,63156472,Cached
2020-08-26 01:52:05.256123,3048,SwapCached
2020-08-26 01:52:05.256123,33800432,Active
2020-08-26 01:52:05.256123,29499104,Inactive
2020-08-26 01:52:05.256123,4339260,Active(anon)
2020-08-26 01:52:05.256123,284,Inactive(anon)
2020-08-26 01:52:05.256123,29461172,Active(file)
2020-08-26 01:52:05.256123,29498820,Inactive(file)
2020-08-26 01:52:05.256123,13012,Unevictable
2020-08-26 01:52:05.256123,13012,Mlocked
2020-08-26 01:52:05.256123,33554428,SwapTotal
2020-08-26 01:52:05.256123,33414908,SwapFree
2020-08-26 01:52:05.256123,696,Dirty
2020-08-26 01:52:05.256123,0,Writeback
2020-08-26 01:52:05.256123,47020,AnonPages
2020-08-26 01:52:05.256123,4328980,Mapped
2020-08-26 01:52:05.256123,4299232,Shmem
2020-08-26 01:52:05.256123,1112484,Slab
2020-08-26 01:52:05.256123,857960,SReclaimable
2020-08-26 01:52:05.256123,254524,SUnreclaim
2020-08-26 01:52:05.256123,8096,KernelStack
2020-08-26 01:52:05.256123,26500,PageTables
2020-08-26 01:52:05.256123,0,NFS_Unstable
2020-08-26 01:52:05.256123,0,Bounce
2020-08-26 01:52:05.256123,0,WritebackTmp
2020-08-26 01:52:05.256123,66527108,CommitLimit
2020-08-26 01:52:05.256123,5025908,Committed_AS
2020-08-26 01:52:05.256123,34359738367,VmallocTotal
2020-08-26 01:52:05.256123,0,VmallocUsed
2020-08-26 01:52:05.256123,0,VmallocChunk
2020-08-26 01:52:05.256123,0,HardwareCorrupted
2020-08-26 01:52:05.256123,0,AnonHugePages
2020-08-26 01:52:05.256123,0,ShmemHugePages
2020-08-26 01:52:05.256123,0,ShmemPmdMapped
2020-08-26 01:52:05.256123,0,CmaTotal
2020-08-26 01:52:05.256123,0,CmaFree
2020-08-26 01:52:05.256123,0,HugePages_Total
2020-08-26 01:52:05.256123,0,HugePages_Free
2020-08-26 01:52:05.256123,0,HugePages_Rsvd
2020-08-26 01:52:05.256123,0,HugePages_Surp
2020-08-26 01:52:05.256123,2048,Hugepagesize
2020-08-26 01:52:05.256123,796208,DirectMap4k
2020-08-26 01:52:05.256123,25331712,DirectMap2M
2020-08-26 01:52:05.256123,41943040,DirectMap1G
2020-08-26 01:52:06.257339,65945364,MemTotal
2020-08-26 01:52:06.257339,880076,MemFree
2020-08-26 01:52:06.257339,60051048,MemAvailable
2020-08-26 01:52:06.257339,107276,Buffers
2020-08-26 01:52:06.257339,63235280,Cached
2020-08-26 01:52:06.257339,3048,SwapCached
2020-08-26 01:52:06.257339,33839252,Active
2020-08-26 01:52:06.257339,29540328,Inactive
2020-08-26 01:52:06.257339,4340956,Active(anon)
2020-08-26 01:52:06.257339,280,Inactive(anon)
2020-08-26 01:52:06.257339,29498296,Active(file)
2020-08-26 01:52:06.257339,29540048,Inactive(file)
2020-08-26 01:52:06.257339,13012,Unevictable
2020-08-26 01:52:06.257339,13012,Mlocked
2020-08-26 01:52:06.257339,33554428,SwapTotal
2020-08-26 01:52:06.257339,33414908,SwapFree
2020-08-26 01:52:06.257339,880,Dirty
2020-08-26 01:52:06.257339,0,Writeback
2020-08-26 01:52:06.257339,49060,AnonPages
2020-08-26 01:52:06.257339,4330180,Mapped
2020-08-26 01:52:06.257339,4299232,Shmem
2020-08-26 01:52:06.257339,1112500,Slab
2020-08-26 01:52:06.257339,857960,SReclaimable
2020-08-26 01:52:06.257339,254540,SUnreclaim
2020-08-26 01:52:06.257339,8160,KernelStack
2020-08-26 01:52:06.257339,36276,PageTables
2020-08-26 01:52:06.257339,0,NFS_Unstable
2020-08-26 01:52:06.257339,0,Bounce
2020-08-26 01:52:06.257339,0,WritebackTmp
2020-08-26 01:52:06.257339,66527108,CommitLimit
2020-08-26 01:52:06.257339,5025908,Committed_AS
2020-08-26 01:52:06.257339,34359738367,VmallocTotal
2020-08-26 01:52:06.257339,0,VmallocUsed
2020-08-26 01:52:06.257339,0,VmallocChunk
2020-08-26 01:52:06.257339,0,HardwareCorrupted
2020-08-26 01:52:06.257339,0,AnonHugePages
2020-08-26 01:52:06.257339,0,ShmemHugePages
2020-08-26 01:52:06.257339,0,ShmemPmdMapped
2020-08-26 01:52:06.257339,0,CmaTotal
2020-08-26 01:52:06.257339,0,CmaFree
2020-08-26 01:52:06.257339,0,HugePages_Total
2020-08-26 01:52:06.257339,0,HugePages_Free
