collected,value,metric
2020-08-30 21:02:33.282408,12517891.0,free
2020-08-30 21:02:33.282408,844776.0,active
2020-08-30 21:02:33.282408,676363.0,specul
2020-08-30 21:02:33.282408,1059683.0,inactive
2020-08-30 21:02:33.282408,0.0,throttle
2020-08-30 21:02:33.282408,1344762.0,wired
2020-08-30 21:02:33.282408,322350.0,prgable
2020-08-30 21:02:33.282408,63206.0,faults
2020-08-30 21:02:33.282408,629.0,copy
2020-08-30 21:02:33.282408,47753.0,0fill
2020-08-30 21:02:33.282408,0.0,reactive
2020-08-30 21:02:33.282408,12.0,purged
2020-08-30 21:02:33.282408,1459097.0,file-backed
2020-08-30 21:02:33.282408,1121725.0,anonymous
2020-08-30 21:02:33.282408,1383168.0,cmprssed
2020-08-30 21:02:33.282408,332651.0,cmprssor
2020-08-30 21:02:33.282408,212.0,dcomprs
2020-08-30 21:02:33.282408,0.0,comprs
2020-08-30 21:02:33.282408,96.0,pageins
2020-08-30 21:02:33.282408,0.0,pageout
2020-08-30 21:02:33.282408,0.0,swapins
2020-08-30 21:02:33.282408,0.0,swapouts
2020-08-30 21:02:34.286027,12502605.0,free
2020-08-30 21:02:34.286027,901010.0,active
2020-08-30 21:02:34.286027,676451.0,specul
2020-08-30 21:02:34.286027,1059690.0,inactive
2020-08-30 21:02:34.286027,0.0,throttle
2020-08-30 21:02:34.286027,1304015.0,wired
2020-08-30 21:02:34.286027,356975.0,prgable
2020-08-30 21:02:34.286027,26606.0,faults
2020-08-30 21:02:34.286027,155.0,copy
2020-08-30 21:02:34.286027,29489.0,0fill
2020-08-30 21:02:34.286027,0.0,reactive
2020-08-30 21:02:34.286027,0.0,purged
2020-08-30 21:02:34.286027,1459222.0,file-backed
2020-08-30 21:02:34.286027,1177929.0,anonymous
2020-08-30 21:02:34.286027,1382852.0,cmprssed
2020-08-30 21:02:34.286027,332445.0,cmprssor
2020-08-30 21:02:34.286027,312.0,dcomprs
2020-08-30 21:02:34.286027,0.0,comprs
2020-08-30 21:02:34.286027,18.0,pageins
2020-08-30 21:02:34.286027,0.0,pageout
2020-08-30 21:02:34.286027,0.0,swapins
2020-08-30 21:02:34.286027,0.0,swapouts
2020-08-30 21:02:35.287353,12481318.0,free
2020-08-30 21:02:35.287353,920834.0,active
2020-08-30 21:02:35.287353,676663.0,specul
2020-08-30 21:02:35.287353,1059808.0,inactive
2020-08-30 21:02:35.287353,0.0,throttle
2020-08-30 21:02:35.287353,1305345.0,wired
2020-08-30 21:02:35.287353,371428.0,prgable
2020-08-30 21:02:35.287353,23294.0,faults
2020-08-30 21:02:35.287353,0.0,copy
2020-08-30 21:02:35.287353,26349.0,0fill
2020-08-30 21:02:35.287353,0.0,reactive
2020-08-30 21:02:35.287353,0.0,purged
2020-08-30 21:02:35.287353,1459695.0,file-backed
2020-08-30 21:02:35.287353,1197610.0,anonymous
2020-08-30 21:02:35.287353,1382099.0,cmprssed
2020-08-30 21:02:35.287353,332302.0,cmprssor
2020-08-30 21:02:35.287353,684.0,dcomprs
2020-08-30 21:02:35.287353,0.0,comprs
2020-08-30 21:02:35.287353,330.0,pageins
2020-08-30 21:02:35.287353,0.0,pageout
2020-08-30 21:02:35.287353,0.0,swapins
2020-08-30 21:02:35.287353,0.0,swapouts
2020-08-30 21:02:36.290587,12477120.0,free
2020-08-30 21:02:36.290587,917355.0,active
2020-08-30 21:02:36.290587,676810.0,specul
2020-08-30 21:02:36.290587,1059814.0,inactive
2020-08-30 21:02:36.290587,0.0,throttle
2020-08-30 21:02:36.290587,1312654.0,wired
