collected,value,metric
2015-01-03 16:40:43.758824,24.0,r
2015-01-03 16:40:43.758824,0.0,b
2015-01-03 16:40:43.758824,19876.0,swpd
2015-01-03 16:40:43.758824,1293784.0,free
2015-01-03 16:40:43.758824,11100.0,buff
2015-01-03 16:40:43.758824,62020016.0,cache
2015-01-03 16:40:43.758824,0.0,si
2015-01-03 16:40:43.758824,0.0,so
2015-01-03 16:40:43.758824,0.0,bi
2015-01-03 16:40:43.758824,4.0,bo
2015-01-03 16:40:43.758824,0.0,in
2015-01-03 16:40:43.758824,0.0,cs
2015-01-03 16:40:43.758824,0.0,us
2015-01-03 16:40:43.758824,0.0,sy
2015-01-03 16:40:43.758824,100.0,id
2015-01-03 16:40:43.758824,0.0,wa
2015-01-03 16:40:43.758824,0.0,st
2015-01-03 16:40:48.759277,22.0,r
2015-01-03 16:40:48.759277,0.0,b
2015-01-03 16:40:48.759277,19876.0,swpd
2015-01-03 16:40:48.759277,808380.0,free
2015-01-03 16:40:48.759277,11108.0,buff
2015-01-03 16:40:48.759277,62374100.0,cache
2015-01-03 16:40:48.759277,0.0,si
2015-01-03 16:40:48.759277,0.0,so
2015-01-03 16:40:48.759277,68891.0,bi
2015-01-03 16:40:48.759277,44.0,bo
2015-01-03 16:40:48.759277,85738.0,in
2015-01-03 16:40:48.759277,255881.0,cs
2015-01-03 16:40:48.759277,50.0,us
2015-01-03 16:40:48.759277,28.0,sy
2015-01-03 16:40:48.759277,21.0,id
2015-01-03 16:40:48.759277,1.0,wa
2015-01-03 16:40:48.759277,0.0,st
2015-01-03 16:40:53.759699,26.0,r
2015-01-03 16:40:53.759699,1.0,b
2015-01-03 16:40:53.759699,19876.0,swpd
2015-01-03 16:40:53.759699,488020.0,free
2015-01-03 16:40:53.759699,11116.0,buff
2015-01-03 16:40:53.759699,62689708.0,cache
2015-01-03 16:40:53.759699,0.0,si
2015-01-03 16:40:53.759699,0.0,so
2015-01-03 16:40:53.759699,61250.0,bi
2015-01-03 16:40:53.759699,13.0,bo
2015-01-03 16:40:53.759699,82373.0,in
2015-01-03 16:40:53.759699,297787.0,cs
2015-01-03 16:40:53.759699,56.0,us
2015-01-03 16:40:53.759699,29.0,sy
2015-01-03 16:40:53.759699,15.0,id
2015-01-03 16:40:53.759699,1.0,wa
2015-01-03 16:40:53.759699,0.0,st
2015-01-03 16:40:58.760125,28.0,r
2015-01-03 16:40:58.760125,0.0,b
2015-01-03 16:40:58.760125,19876.0,swpd
2015-01-03 16:40:58.760125,253172.0,free
