2025-06-19 17:09:37.582802	Avg_MHz	Busy%	Bzy_MHz	C1E	C3	C6	C7s	C8	C9	C10	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c3	CoreTmp	PkgTmp	GFX%rc6	GFXMHz	GFXAMHz	Pkg%pc7	Pkg%pc9	PkgWatt	CorWatt	GFXWatt	RAMWatt	UncMHz
2025-06-19 17:09:37.583056	8	0.96	888	11	9	55	0	62	91	301	0.03	0.02	0.56	0.00	0.86	4.22	93.16	0.03	41	41	99.07	300	0	0.00	0.00	0.99	0.12	0.00	0.58	400
2025-06-19 17:09:38.588572	6	0.75	859	63	6	49	0	54	28	220	0.11	0.01	0.40	0.00	0.68	1.23	96.88	0.01	41	41	99.52	300	0	0.00	0.00	0.95	0.08	0.00	0.58	400
2025-06-19 17:09:39.594820	7	0.84	840	14	5	24	0	41	58	259	0.03	0.01	0.22	0.00	0.56	2.70	95.67	0.01	40	41	99.48	300	0	0.00	0.00	0.97	0.09	0.00	0.57	400
2025-06-19 17:09:40.600646	9	1.05	824	86	12	54	0	62	76	347	0.18	0.01	0.44	0.00	0.83	3.66	93.90	0.00	40	41	99.52	300	0	0.00	0.00	1.05	0.10	0.00	0.59	400
2025-06-19 17:09:41.606626	9	1.09	801	17	10	51	0	67	92	340	0.04	0.01	0.44	0.00	0.80	4.02	93.63	0.01	40	41	99.60	300	0	0.00	0.00	0.99	0.10	0.00	0.59	400
2025-06-19 17:09:42.612897	9	1.15	798	74	18	64	0	55	73	367	0.10	0.02	0.44	0.00	0.76	3.76	93.81	0.02	40	41	99.48	300	0	0.00	0.00	1.13	0.11	0.00	0.59	400
2025-06-19 17:09:43.619591	8	1.03	798	21	21	56	0	36	51	303	0.06	0.08	0.46	0.00	0.46	3.24	94.71	0.13	40	41	99.53	300	0	0.00	0.00	0.99	0.11	0.00	0.58	400
2025-06-19 17:09:44.625935	9	1.13	780	57	4	51	0	32	100	346	0.08	0.01	0.45	0.00	0.50	4.66	93.23	0.01	40	40	99.57	300	0	0.00	0.00	0.98	0.10	0.00	0.58	400
2025-06-19 17:09:45.632524	8	1.05	771	13	8	50	0	41	82	320	0.02	0.00	0.44	0.00	0.66	4.07	93.80	0.00	39	41	99.64	300	0	0.00	0.00	0.98	0.10	0.00	0.58	400
2025-06-19 17:09:46.639026	8	1.06	802	74	20	45	0	46	88	322	0.15	0.05	0.39	0.00	0.59	4.46	93.34	0.07	39	40	99.55	300	0	0.00	0.00	0.99	0.11	0.00	0.58	400
2025-06-19 17:09:47.645616	10	1.24	839	6	18	111	0	102	98	343	0.02	0.10	1.03	0.00	1.37	5.03	91.28	0.18	39	40	99.54	300	0	0.00	0.00	1.07	0.11	0.00	0.59	400
2025-06-19 17:09:48.651957	8	1.10	766	12	8	50	0	52	86	347	0.04	0.01	0.44	0.00	0.71	3.67	94.09	0.00	39	40	99.56	300	0	0.00	0.00	1.06	0.11	0.00	0.58	400
2025-06-19 17:09:49.654390	523	16.22	3218	760	56	283	0	182	67	350	0.38	0.03	1.94	0.00	2.08	3.00	75.23	0.02	56	56	99.74	300	0	0.00	0.00	5.16	4.08	0.00	0.81	3100
2025-06-19 17:09:50.656007	3153	92.72	3400	460	56	120	0	9	0	20	0.11	0.01	0.03	0.00	0.00	0.00	0.00	0.00	61	61	99.34	300	0	0.00	0.00	25.23	23.80	0.00	1.51	3100
2025-06-19 17:09:51.658121	3141	92.38	3400	1631	54	141	0	23	0	17	0.60	0.02	0.04	0.00	0.01	0.00	0.01	0.00	62	62	99.49	300	0	0.00	0.00	25.28	23.88	0.01	1.42	3100
2025-06-19 17:09:52.662810	3151	92.70	3400	1479	66	125	14	30	14	168	0.52	0.03	0.04	0.00	0.01	0.01	0.06	0.00	66	66	99.13	300	0	0.00	0.00	25.87	24.07	0.01	1.64	3100
2025-06-19 17:09:53.665261	3101	91.20	3400	3401	88	175	1	45	3	35	1.45	0.03	0.07	0.00	0.01	0.00	0.01	0.00	64	64	99.66	300	0	0.00	0.00	25.57	23.95	0.01	1.54	3100
2025-06-19 17:09:54.667407	3109	91.46	3400	1359	58	122	0	15	0	17	0.32	0.02	0.02	0.00	0.00	0.00	0.01	0.00	64	64	99.58	300	0	0.00	0.00	25.42	23.98	0.00	1.26	3100
2025-06-19 17:09:55.669208	3109	91.42	3400	1512	86	134	0	25	0	41	0.43	0.03	0.05	0.00	0.01	0.00	0.01	0.00	66	66	99.52	300	0	0.00	0.00	25.43	24.00	0.00	1.23	3100
2025-06-19 17:09:56.671108	3106	91.35	3400	1339	68	91	0	14	0	21	0.37	0.02	0.02	0.00	0.00	0.00	0.00	0.00	65	65	99.61	300	0	0.00	0.00	25.46	24.10	0.01	1.34	3100
2025-06-19 17:09:57.673453	3109	91.45	3400	1083	55	110	0	12	0	23	0.25	0.01	0.03	0.00	0.00	0.00	0.01	0.00	68	68	99.47	300	0	0.00	0.00	25.47	24.10	0.01	1.23	3100
2025-06-19 17:09:58.675165	3096	91.03	3400	1525	73	150	0	15	0	18	0.41	0.02	0.04	0.00	0.00	0.00	0.00	0.00	66	66	99.53	300	0	0.00	0.00	25.47	24.13	0.00	1.28	3100
2025-06-19 17:09:59.677119	3110	91.48	3400	1069	54	108	0	21	1	56	0.26	0.01	0.03	0.00	0.02	0.00	0.03	0.00	67	67	99.51	300	0	0.00	0.00	25.84	24.27	0.00	1.42	3100
2025-06-19 17:10:00.679039	3092	90.94	3400	1545	92	165	0	13	0	28	0.40	0.03	0.04	0.00	0.00	0.00	0.01	0.00	68	68	99.61	300	0	0.00	0.00	25.55	24.15	0.00	1.25	3100
2025-06-19 17:10:01.681264	3155	92.79	3400	217	6	30	0	3	0	1	0.05	0.00	0.01	0.00	0.00	0.00	0.00	0.00	70	70	99.49	300	0	0.00	0.00	25.89	24.54	0.01	1.28	3100
2025-06-19 17:10:02.683205	3138	92.30	3400	723	21	95	0	18	0	24	0.23	0.00	0.03	0.00	0.01	0.00	0.01	0.00	70	70	99.50	300	0	0.00	0.00	25.81	24.47	0.01	1.27	3100
2025-06-19 17:10:03.685194	3133	92.16	3400	734	39	68	0	2	0	11	0.21	0.01	0.02	0.00	0.00	0.00	0.00	0.00	71	71	99.60	300	0	0.00	0.00	25.82	24.45	0.00	1.32	3100
2025-06-19 17:10:04.687437	3160	92.93	3400	81	0	0	0	0	0	0	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	70	70	99.49	300	0	0.00	0.00	26.04	24.65	0.00	1.25	3100
2025-06-19 17:10:05.689347	3163	93.02	3400	40	0	0	0	0	0	0	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	71	71	99.49	300	0	0.00	0.00	26.08	24.66	0.00	1.26	3100
2025-06-19 17:10:06.691406	3125	91.91	3400	813	42	47	0	8	0	8	0.22	0.01	0.01	0.00	0.00	0.00	0.00	0.00	71	71	99.50	300	0	0.00	0.00	25.86	24.48	0.00	1.23	3100
2025-06-19 17:10:07.693249	3163	93.02	3400	37	0	0	0	0	0	0	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	72	72	99.62	300	0	0.00	0.00	26.23	24.75	0.00	1.39	3100
2025-06-19 17:10:08.695190	3152	92.72	3400	230	9	42	0	5	0	4	0.06	0.00	0.02	0.00	0.00	0.00	0.00	0.00	73	73	99.52	300	0	0.00	0.00	26.04	24.62	0.01	1.27	3100
2025-06-19 17:10:09.697337	3140	92.37	3400	454	31	59	0	4	0	5	0.09	0.00	0.01	0.00	0.00	0.00	0.00	0.00	73	73	99.48	300	0	0.00	0.00	25.92	24.57	0.00	1.29	3100
2025-06-19 17:10:10.699197	3156	92.82	3400	213	30	18	0	2	0	10	0.05	0.01	0.01	0.00	0.00	0.00	0.00	0.00	73	73	99.61	300	0	0.00	0.00	26.03	24.68	0.01	1.27	3100
2025-06-19 17:10:11.701239	3152	92.71	3400	259	1	29	0	5	0	6	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	75	75	99.50	300	0	0.00	0.00	26.11	24.70	0.01	1.37	3100
